iter	Passed	Remaining
0	150	38312
1	152	19323
2	154	13014
3	156	9857
4	158	7972
5	161	6716
6	163	5824
7	165	5142
8	167	4604
9	169	4171
10	171	3816
11	173	3520
12	175	3273
13	176	3059
14	178	2872
15	180	2708
16	182	2564
17	184	2437
18	186	2323
19	188	2219
20	189	2124
21	191	2038
22	193	1960
23	195	1889
24	197	1822
25	199	1761
26	200	1704
27	202	1651
28	204	1602
29	206	1556
30	208	1511
31	210	1472
32	212	1434
33	214	1399
34	216	1367
35	218	1336
36	220	1307
37	223	1281
38	225	1257
39	227	1229
40	229	1203
41	231	1178
42	233	1154
43	234	1131
44	236	1110
45	238	1089
46	240	1069
47	242	1051
48	244	1032
49	246	1014
50	248	997
51	249	980
52	251	964
53	253	949
54	255	934
55	257	919
56	259	905
57	261	891
58	262	877
59	264	864
60	266	851
61	268	839
62	270	827
63	272	816
64	274	806
65	276	796
66	278	785
67	280	776
68	283	767
69	285	759
70	287	749
71	289	740
72	291	730
73	293	721
74	295	712
75	297	703
76	298	694
77	300	686
78	302	678
79	304	669
80	306	661
81	308	653
82	309	645
83	311	638
84	313	630
85	315	623
86	317	616
87	319	609
88	320	601
89	322	594
90	324	588
91	326	581
92	327	574
93	329	568
94	331	561
95	333	555
96	335	549
97	337	543
98	339	538
99	341	533
100	343	527
101	346	522
102	349	518
103	351	513
104	353	508
105	355	502
106	357	497
107	359	492
108	360	486
109	362	481
110	364	476
111	366	471
112	368	466
113	370	461
114	372	456
115	374	451
116	375	446
117	377	441
118	379	437
119	381	432
120	383	427
121	385	423
122	387	418
123	389	414
124	390	409
125	392	405
126	394	400
127	396	396
128	398	392
129	401	388
130	403	384
131	405	381
132	408	377
133	410	373
134	412	369
135	413	365
136	415	361
137	417	357
138	419	352
139	421	348
140	422	344
141	424	340
142	426	337
143	428	333
144	430	329
145	431	325
146	433	321
147	435	317
148	437	314
149	439	310
150	441	306
151	442	303
152	444	299
153	446	295
154	448	292
155	450	288
156	452	285
157	454	281
158	456	278
159	458	274
160	460	271
161	462	268
162	464	265
163	466	261
164	469	258
165	471	255
166	473	252
167	475	248
168	476	245
169	478	242
170	480	238
171	482	235
172	484	232
173	486	229
174	487	225
175	489	222
176	491	219
177	493	216
178	495	213
179	497	209
180	498	206
181	500	203
182	502	200
183	504	197
184	506	194
185	508	191
186	510	188
187	511	185
188	513	182
189	515	179
190	517	176
191	519	173
192	522	170
193	524	167
194	526	164
195	528	161
196	531	159
197	532	156
198	534	153
199	536	150
200	538	147
201	540	144
202	542	141
203	543	138
204	545	135
205	547	132
206	549	130
207	551	127
208	552	124
209	554	121
210	556	118
211	558	115
212	560	113
213	562	110
214	564	107
215	566	104
216	568	102
217	570	99
218	572	96
219	574	93
220	576	91
221	578	88
222	580	85
223	582	83
224	584	80
225	586	77
226	589	75
227	591	72
228	593	69
229	595	67
230	596	64
231	598	61
232	600	59
233	602	56
234	604	53
235	606	51
236	607	48
237	609	46
238	611	43
239	613	40
240	615	38
241	617	35
242	619	33
243	621	30
244	622	27
245	624	25
246	626	22
247	628	20
248	630	17
249	631	15
250	633	12
251	635	10
252	637	7
253	639	5
254	641	2
255	642	0
